station_name,station_id,station_lat,station_lng
6 Ave & 9 St,3803.09,40.668127,-73.98377641
16th St & 4th Ave,3811.05,40.666197,-73.992466
Buffalo Ave & E New York Ave,3814.01,40.66591,-73.92602
Schenectady Ave & President St,3822.08,40.667419195,-73.93399632
Kingston Ave & Carroll St,3831.03,40.667015195,-73.942376733
6 St & 7 Ave,3834.1,40.6686627,-73.97988067
6 St & 7 Ave,3834.10,40.6686627,-73.97988067
President St & Nostrand Ave,3839.02,40.668110013,-73.950391412
10 St & 5 Ave,3842.08,40.668672204,-73.987019062
Eastern Pkwy & Ralph Ave,3845.05,40.66852,-73.92284
Carroll St & Franklin Ave,3847.04,40.6679411,-73.9588
3 Ave & 14 St,3850.03,40.6685455,-73.99333264
Eastern Pkwy & Rochester Ave,3853.02,40.66846,-73.9282
Flatbush Ave & Eastern Pkwy,3856.03,40.668757,-73.966438
Eastern Pkwy & Troy Ave,3862.07,40.66929,-73.93679
3 St & Prospect Park West,3865.05,40.668132,-73.97363831
Eastern Pkwy & Brooklyn Ave,3871.02,40.669404984,-73.945276499
5 St & 6 Ave,3874.01,40.6704836,-73.98208968
Pitkin Ave & Grafton St,3877.04,40.66852,-73.91908
Union St & Bedford Ave,3879.04,40.6691783,-73.9554162
12 St & 4 Ave,3882.01,40.668603,-73.9904394
10 St & 4 Ave,3882.05,40.66967356370341,-73.98898908183764
Buffalo Ave & St Johns Pl,3885.06,40.67015,-73.92538
Carroll St & Washington Ave,3887.03,40.6686744,-73.9618148
Eastern Pkwy & Schenectady Ave,3893.03,40.66876,-73.93376
Eastern Pkwy & Kingston Ave,3902.06,40.669597149,-73.942405701
3 St & 7 Ave,3905.15,40.67032218,-73.978271484
Eastern Pkwy & Nostrand Ave,3911.05,40.66967,-73.9503
7 St & 5 Ave,3914.02,40.670472383,-73.98549974
St Johns Pl & Howard Ave,3917.03,40.66992,-73.92002
Eastern Pkwy & Franklin Ave,3919.07,40.6707767,-73.9576801
Eastern Pkwy & Franklin Ave (SW Corner),3919.12,40.670529,-73.958222
10 St & 2 Ave,3922.02,40.671907,-73.993612
Sterling Pl & Rochester Ave,3925.03,40.67128,-73.92825
Eastern Pkwy & Washington Ave,3928.08,40.671687126,-73.963210702
Bay St & Court St,3931.09,40.671409,-74.001328
Sterling Pl & Schenectady Ave,3934.06,40.6716,-73.93378
Troy Ave & Park Pl,3934.07,40.67251,-73.93642
Sigourney St & Columbia St,3940.04,40.67267243410948,-74.0087952464819
St. Johns Pl & Kingston Ave,3943.03,40.67113,-73.94222
1 St & 6 Ave,3946.07,40.672784,-73.979826
Park Pl & Thomas S. Boyland St,3950.03,40.67154,-73.91433
Lincoln Pl & Nostrand Ave,3952.07,40.670763135,-73.950609684
4 Ave & 9 St,3955.05,40.670717359,-73.988749146
Sterling Pl & Ralph Ave,3958.02,40.67095,-73.92222
Lincoln Pl & Classon Ave,3960.01,40.6721683,-73.9609
St Johns Pl & Utica Ave,3966.01,40.6705,-73.9308
Park Pl & Utica Ave,3966.03,40.67242,-73.93094
Henry St & Bay St,3972.08,40.672611713,-74.004896283
Albany Ave & Park Pl,3975.02,40.67297,-73.93896
Garfield Pl & 8 Ave,3978.13,40.6711978,-73.97484126
Dwight St & Van Dyke St,3981.1,40.673640728,-74.012064219
Dwight St & Van Dyke St,3981.10,40.67363551341504,-74.01195555925369
Eastern Pkwy\t& St Marks Ave,3982.01,40.67319,-73.91083
Sterling Pl & New York Ave,3984.02,40.67234,-73.94763
5 Ave & 3 St,3987.06,40.6728155,-73.98352355
Prospect Pl & Howard Ave,3991.04,40.67261,-73.91977
Sterling Pl & Bedford Ave,3993.03,40.672695,-73.954131
7 St & 3 Ave,3996.01,40.67260298150126,-73.98983001708984
Park Pl & Buffalo Ave,3999.06,40.671964884,-73.925593734
St Johns Pl & Washington Ave,4001.09,40.6737236,-73.9631611
Schenectady Ave & Prospect Pl,4007.01,40.67351,-73.93363
Plaza St East & Flatbush Ave,4010.01,40.673134,-73.969106
Plaza St West & Flatbush Ave,4010.13,40.6750207,-73.97111473
Grand Army Plaza & Plaza St West,4010.15,40.6729679,-73.97087984
Columbia St & Lorraine St,4013.08,40.6747055,-74.0075572
Pacific St & Sackman St,4014.01,40.67522,-73.9061
Kingston Ave & Park Pl,4016.03,40.673278093,-73.941905499
Carroll St & 6 Ave,4019.06,40.6740886,-73.9787282
St Marks Ave & Thomas S. Boyland St,4023.01,40.67313,-73.91387
Pacific St & Thomas S. Boyland St,4023.05,40.675644755,-73.914047241
Prospect Pl & Nostrand Ave,4025.02,40.67428,-73.9503
3 St & 3 Ave,4028.03,40.6750705,-73.98775226
4 Ave & 3 St,4028.04,40.673463345,-73.985814929
St Marks Ave & Ralph Ave,4031.05,40.67372,-73.92199
Park Pl & Franklin Ave,4033.06,40.6741806,-73.9564947
Sterling Pl & Franklin Ave,4033.16,40.673151016,-73.95698297
St Marks Ave & Rochester Ave,4039.04,40.67404,-73.92772
Underhill Ave & Lincoln Pl,4042.08,40.6740123,-73.9671457
Clinton St & Centre St,4045.01,40.67434,-74.00194698
Bergen St & Troy Ave,4048.03,40.675225139,-73.9357934
Berkeley Pl & 7 Ave,4051.01,40.675146838709786,-73.97523209452629
Wolcott St & Dwight St,4054.02,40.6753274,-74.0100698
Dwight St & Dikeman St,4054.06,40.67487503856169,-74.01048018571481
Bergen St & Mother Gaston Blvd,4055.04,40.67374,-73.90852
Brooklyn Ave & Prospect Pl,4057.04,40.674381852,-73.944400311
Carroll St & 5 Ave,4060.09,40.6751622,-73.9814832
Bergen St & Saratoga Ave,4064.03,40.67423749,-73.916474104
Bedford Ave & Bergen St,4066.15,40.676368,-73.952918
Bergen St & Buffalo Ave,4072.02,40.6747,-73.92512
Classon Ave & St Marks Ave,4074.14,40.676513,-73.959431
Smith St & 9 St,4077.04,40.6746957,-73.99785768
Court St & Nelson St,4077.07,40.6763947,-73.99869893
Schenectady Ave & Pacific St,4080.01,40.67686,-73.93327
Columbia St & W 9 St,4086.05,40.676890373,-74.006535172
Henry St & W 9 St,4086.06,40.6763744,-74.00324957
Van Sinderen Ave & Atlantic Ave,4087.01,40.67621,-73.90351
Bergen St & Kingston Ave,4089.01,40.6756,-73.9415
Van Brunt St & Wolcott St,4095.03,40.6773429,-74.01275056
Van Brunt St & Van Dyke St,4095.1,40.6758329439129,-74.01472628116608
Van Brunt St & Van Dyke St,4095.10,40.6758329439129,-74.01472628116608
Dean St & Rockaway Ave,4096.08,40.674834967,-73.911440372
New York Ave & St Marks Ave,4098.06,40.67514,-73.94716
President St & 4 Ave,4101.17,40.676757,-73.983262
Pacific St & Ralph Ave,4105.01,40.67607,-73.92171
Franklin Ave & St Marks Ave,4107.05,40.6758324,-73.9561677
Dean St & Franklin Ave,4107.13,40.67759206937376,-73.955637216568
3 St & Hoyt St,4110.1,40.6777287,-73.99364123
3 St & Hoyt St,4110.10,40.6777287,-73.99364123
Pacific St & Rochester Ave,4113.01,40.676368833,-73.927453995
Prospect Pl & Underhill Ave,4116.08,40.677003622,-73.96574831
Washington Ave & Park Pl,4116.09,40.675832,-73.963308
Clinton St & 4 Place,4119.04,40.6783563,-74.00014502
Fulton St & Williams Ave,4120.02,40.67709,-73.9008
Pacific St & Troy Ave,4122.03,40.676948547,-73.936123252
Verona Pl & Fulton St,4124.04,40.68048203,-73.947856188
7 Ave & Park Pl,4125.07,40.6776147,-73.97324283
Pioneer St & Richards St,4128.08,40.6777748,-74.0094613
Herkimer St & Eastern Pkwy,4129.1,40.677338362,-73.908215046
Herkimer St & Eastern Pkwy,4129.10,40.67738,-73.90829
Brooklyn Ave & Dean St,4131.03,40.67669,-73.94437
Berkeley Pl & 6 Ave,4134.06,40.676577926,-73.978626609
Coffey St & Conover St,4137.1,40.67724967,-74.015711308
Coffey St & Conover St,4137.10,40.677236,-74.015665
Coffey St & Ferris St,4137.14,40.67818387977647,-74.0170168876648
Thomas S. Boyland St & Fulton St,4138.04,40.678662658,-73.913660765
Pacific St & Nostrand Ave,4140.03,40.6776,-73.94963
Union St & Nevins St,4143.03,40.67909799721684,-73.98765474557877
3 Ave & Carroll St,4143.04,40.677027,-73.9865
Columbus Pl & Atlantic Ave,4146.02,40.67717,-73.92285
Pacific St & Classon Ave,4148.07,40.6791944,-73.9587903
Smith St & 3 St,4151.01,40.6787242,-73.99599099
Pacific St & Utica Ave,4154.02,40.6767,-73.93051
Bergen St & Vanderbilt Ave,4157.1,40.6794388,-73.9680438
Bergen St & Vanderbilt Ave,4157.10,40.6794388,-73.9680438
Prospect Pl & Vanderbilt Ave,4157.15,40.677713156,-73.969130397
Van Sinderen Ave & Truxton St,4161.01,40.6786,-73.90369
Prospect Pl & 6 Ave,4166.08,40.6793307,-73.97519523
Pioneer St & Van Brunt St,4169.04,40.679209113,-74.011409521
Somers St & Rockaway Ave,4170.08,40.67872,-73.91105
Herkimer St & New York Ave,4172.04,40.67955,-73.94709
Douglass St & 4 Ave,4175.14,40.6792788,-73.98154004
Union St & 4 Ave,4175.15,40.6772744,-73.98282002
Fulton St & Saratoga Ave,4179.03,40.67853,-73.91642
Brevoort Pl & Bedford Ave,4181.1,40.680215836,-73.953516603
Brevoort Pl & Bedford Ave,4181.10,40.68012,-73.95362
Carroll St & Bond St,4184.07,40.6786115,-73.99037292
Sumpter St & Fulton St,4187.04,40.679196358,-73.925930142
Grand Ave & Bergen St,4190.06,40.678045,-73.962408
1 Pl & Clinton St,4193.14,40.680969477,-73.999168396
Lewis Ave & Fulton St,4196.01,40.679795742,-73.934625149
